編號,,基本字色,外框色,變色字1,變色字2,陰影色,爆炸色
B01,第一行大標,ffffff,051efe,fefd29,aef2ff,000d73,051efe
,第二行大標,9c00ff,ffffff,d61e1e,f05910,e3e3e3,
B02,第一行大標,ffffff,0048dc,fefd29,fefd29,002567,0048dc
,第二行大標,00731b,ffffff,d61e1e,f05910,e3e3e3,
B03,第一行大標,ffffff,133aa8,fefd29,aef2ff,002567,133aa8
,第二行大標,168316,ffffff,d61e1e,9e00b1,e3e3e3,
B04,第一行大標,ffffff,0012ff,fff109,aef2ff,000984,0012ff
,第二行大標,d61e1e,ffffff,9c00ff,00a18c,e3e3e3,
B05,第一行大標,ffffff,0048dc,fefd29,aef2ff,002567,0048dc
,第二行大標,018164,ffffff,a800ff,f05910,e3e3e3,
B06,第一行大標,ffffff,0072ff,fefd29,aef2ff,002567,0072ff
,第二行大標,148c8d,ffffff,9000ff,f05910,e3e3e3,
G01,第一行大標,ffffff,118344,fefd29,fefd29,005526,118344
,第二行大標,011ffc,ffffff,ee4900,bb00c7,e3e3e3,
G02,第一行大標,ffffff,00875f,fefd29,fefd29,006144,00875f
,第二行大標,352293,ffffff,0084ff,ff6000,e3e3e3,
G03,第一行大標,ffffff,008b3b,fefd29,fefd29,003215,008b3b
,第二行大標,7702fa,ffffff,e20000,ff6000,e3e3e3,
G04,第一行大標,ffffff,096c23,fefd29,fefd29,00340e,096c23
,第二行大標,152fce,ffffff,ff0000,9000ff,e3e3e3,
G05,第一行大標,ffffff,009764,fefd29,fefd29,00340e,009764
,第二行大標,0371fc,ffffff,e10000,9000ff,e3e3e3,
R01,第一行大標,ffffff,b40000,fefd29,fefd29,770000,d52727
,第二行大標,014efc,ffffff,118344,ee4900,e3e3e3,
R02,第一行大標,ffffff,b40000,fefd29,fefd29,770000,d52727
,第二行大標,5d00cf,ffffff,0096ff,ee4900,e3e3e3,
R03,第一行大標,ffffff,e20000,fefd29,fefd29,b70000,e20000
,第二行大標,101d91,ffffff,0096ff,a200ff,e3e3e3,
R04,第一行大標,ffffff,d00000,fefd29,aef2ff,770000,d00000
,第二行大標,0005e2,ffffff,017d4d,ee4900,e3e3e3,
R05,第一行大標,ffffff,b00808,fefd29,aef2ff,590101,b00808
,第二行大標,8a00ff,ffffff,1212a2,118344,e3e3e3,
O01,第一行大標,ffffff,ff6000,fefd29,aef2ff,973900,ff6000
,第二行大標,2323a1,ffffff,9c00ff,00a18c,e3e3e3,
O02,第一行大標,ffffff,ff4800,fefd29,aef2ff,a72f00,ff4800
,第二行大標,0122b1,ffffff,9c00ff,118344,e3e3e3,
O03,第一行大標,ffffff,ff3c00,fefd29,aef2ff,a12600,ff3c00
,第二行大標,6c00ff,ffffff,038d16,d80000,e3e3e3,
O04,第一行大標,ffffff,ee5a00,fefd29,aef2ff,a33e00,ee5a00
,第二行大標,2653e4,ffffff,038d16,d80000,e3e3e3,
O05,第一行大標,ffffff,ff3c16,fefd29,aef2ff,cd3416,ff3c16
,第二行大標,2653e4,ffffff,c50000,6c00ff,e3e3e3,
P01,第一行大標,ffffff,a200ff,fefd29,aef2ff,4f007c,a200ff
,第二行大標,0600f4,ffffff,ee4900,118344,e3e3e3,
P02,第一行大標,ffffff,a200ff,fefd29,aef2ff,4f007c,a200ff
,第二行大標,0600f4,ffffff,d00000,118344,e3e3e3,
P03,第一行大標,ffffff,661cc3,fefd29,aef2ff,3a1469,661cc3
,第二行大標,007b6b,ffffff,fa1c1c,000ad4,e3e3e3,
P04,第一行大標,ffffff,661cc3,fefd29,aef2ff,3a1469,661cc3
,第二行大標,007b6b,ffffff,fa1c1c,661cc3,e3e3e3,
P05,第一行大標,ffffff,6c00ff,fff109,aef2ff,3a1469,6c00ff
,第二行大標,0600ef,ffffff,ff3000,6c00ff,e3e3e3,
